theta F_x
-0.7853981633974483 6.65704
-0.7846127652340509 6.65704
-0.7838273670706534 6.65704
-0.783041968907256 6.65704
-0.7822565707438585 6.65704
-0.7814711725804611 6.65704
-0.7806857744170635 6.65704
-0.7799003762536661 6.65704
-0.7791149780902686 6.65704
-0.7783295799268712 6.65704
-0.7775441817634738 6.65704
-0.7767587836000763 6.65704
-0.7759733854366789 6.65704
-0.7751879872732814 6.65704
-0.774402589109884 6.65704
-0.7736171909464865 6.65704
-0.7728317927830891 6.65704
-0.7720463946196916 6.65704
-0.7712609964562942 6.65704
-0.7704755982928968 6.65704
-0.7696902001294993 6.65704
-0.7689048019661019 6.65704
-0.7681194038027044 6.65704
-0.767334005639307 6.65704
-0.7665486074759095 6.65704
-0.7657632093125121 6.65704
-0.7649778111491146 6.65704
-0.7641924129857172 6.65704
-0.7634070148223198 6.65704
-0.7626216166589223 6.65704
-0.7618362184955249 6.65704
-0.7610508203321273 6.65704
-0.7602654221687299 6.65704
-0.7594800240053324 6.65704
-0.758694625841935 6.65704
-0.7579092276785375 6.65704
-0.7571238295151401 6.65704
-0.7563384313517426 6.65704
-0.7555530331883452 6.65704
-0.7547676350249478 6.65704
-0.7539822368615503 6.65704
-0.7531968386981529 6.65704
-0.7524114405347554 6.65704
-0.751626042371358 6.65704
-0.7508406442079605 6.65704
-0.7500552460445631 6.65704
-0.7492698478811656 6.65704
-0.7484844497177682 6.65704
-0.7476990515543708 6.65704
-0.7469136533909733 6.65704
-0.7461282552275759 6.65704
-0.7453428570641784 6.65704
-0.744557458900781 6.65704
-0.7437720607373834 6.65704
-0.742986662573986 6.65704
-0.7422012644105885 6.65704
-0.7414158662471911 6.65704
-0.7406304680837937 6.65704
-0.7398450699203962 6.65704
-0.7390596717569988 6.65704
-0.7382742735936013 6.65704
-0.737488875430204 6.65704
-0.7367034772668064 6.65704
-0.7359180791034091 6.65704
-0.7351326809400115 6.65704
-0.7343472827766142 6.65704
-0.7335618846132167 6.65704
-0.7327764864498193 6.65704
-0.7319910882864218 6.65704
-0.7312056901230244 6.65704
-0.7304202919596269 6.65704
-0.7296348937962295 6.65704
-0.7288494956328321 6.65704
-0.7280640974694346 6.65704
-0.7272786993060372 6.65704
-0.7264933011426397 6.65704
-0.7257079029792423 6.65704
-0.7249225048158447 6.65704
-0.7241371066524473 6.65704
-0.72335170848905 6.65704
-0.7225663103256524 6.65704
-0.721780912162255 6.65704
-0.7209955139988575 6.65704
-0.7202101158354601 6.65704
-0.7194247176720626 6.65704
-0.7186393195086652 6.65704
-0.7178539213452677 6.65704
-0.7170685231818703 6.65704
-0.7162831250184729 6.65704
-0.7154977268550754 6.65704
-0.714712328691678 6.65704
-0.7139269305282805 6.65704
-0.7131415323648831 6.65704
-0.7123561342014856 6.65704
-0.7115707360380882 6.65704
-0.7107853378746907 6.65704
-0.7099999397112933 6.65704
-0.7092145415478958 6.65704
-0.7084291433844984 6.65704
-0.707643745221101 6.65704
-0.7068583470577035 6.65704
-0.706072948894306 6.65704
-0.7052875507309085 6.65704
-0.7045021525675111 6.65704
-0.7037167544041136 6.65704
-0.7029313562407162 6.65704
-0.7021459580773187 6.65704
-0.7013605599139213 6.65704
-0.7005751617505239 6.65704
-0.6997897635871264 6.65704
-0.699004365423729 6.65704
-0.6982189672603315 6.65704
-0.6974335690969341 6.65704
-0.6966481709335366 6.65704
-0.6958627727701392 6.65704
-0.6950773746067417 6.65704
-0.6942919764433443 6.65704
-0.6935065782799469 6.65704
-0.6927211801165494 6.65704
-0.691935781953152 6.65704
-0.6911503837897545 6.65704
-0.6903649856263571 6.65704
-0.6895795874629596 6.65704
-0.6887941892995622 6.65704
-0.6880087911361646 6.65704
-0.6872233929727672 6.65704
-0.6864379948093698 6.65704
-0.6856525966459723 6.65704
-0.6848671984825749 6.65704
-0.6840818003191774 6.65704
-0.68329640215578 6.65704
-0.6825110039923825 6.65704
-0.6817256058289851 6.65704
-0.6809402076655876 6.65704
-0.6801548095021902 6.65704
-0.6793694113387928 6.65704
-0.6785840131753953 6.65704
-0.6777986150119979 6.65704
-0.6770132168486004 6.65704
-0.676227818685203 6.65704
-0.6754424205218055 6.65704
-0.6746570223584081 6.65704
-0.6738716241950106 6.65704
-0.6730862260316132 6.65704
-0.6723008278682158 6.65704
-0.6715154297048183 6.65704
-0.6707300315414209 6.65704
-0.6699446333780233 6.65704
-0.669159235214626 6.65704
-0.6683738370512284 6.65704
-0.667588438887831 6.65704
-0.6668030407244335 6.65704
-0.6660176425610361 6.65704
-0.6652322443976387 6.65704
-0.6644468462342412 6.65704
-0.6636614480708438 6.65704
-0.6628760499074463 6.65704
-0.6620906517440489 6.65704
-0.6613052535806514 6.65704
-0.660519855417254 6.65704
-0.6597344572538565 6.65704
-0.6589490590904591 6.65704
-0.6581636609270616 6.65704
-0.6573782627636642 6.65704
-0.6565928646002668 6.65704
-0.6558074664368693 6.65704
-0.6550220682734719 6.65704
-0.6542366701100744 6.65704
-0.653451271946677 6.657040000000001
-0.6526658737832794 6.657040000000001
-0.651880475619882 6.65704
-0.6510950774564845 6.657040000000001
-0.6503096792930873 6.657040000000001
-0.6495242811296897 6.65704
-0.6487388829662923 6.657039999999999
-0.6479534848028948 6.65704
-0.6471680866394974 6.65704
-0.6463826884760999 6.65704
-0.6455972903127025 6.65704
-0.644811892149305 6.65704
-0.6440264939859076 6.65704
-0.6432410958225101 6.657039999999999
-0.6424556976591127 6.657039999999999
-0.6416702994957152 6.65704
-0.6408849013323178 6.657040000000001
-0.6400995031689203 6.65704
-0.639314105005523 6.65704
-0.6385287068421254 6.65704
-0.6377433086787281 6.65704
-0.6369579105153305 6.657040000000001
-0.6361725123519332 6.65704
-0.6353871141885357 6.65704
-0.6346017160251383 6.65704
-0.6338163178617408 6.657040000000001
-0.6330309196983434 6.65704
-0.6322455215349458 6.65704
-0.6314601233715484 6.65704
-0.6306747252081509 6.65704
-0.6298893270447535 6.657040000000001
-0.629103928881356 6.65704
-0.6283185307179586 6.65704
-0.6275331325545611 6.657039999999999
-0.6267477343911637 6.657039999999999
-0.6259623362277662 6.657039999999999
-0.6251769380643689 6.65704
-0.6243915399009714 6.65704
-0.623606141737574 6.65704
-0.6228207435741765 6.657039999999999
-0.6220353454107791 6.65704
-0.6212499472473816 6.65704
-0.6204645490839842 6.65704
-0.6196791509205867 6.65704
-0.6188937527571893 6.65704
-0.6181083545937919 6.65704
-0.6173229564303944 6.657040000000001
-0.616537558266997 6.65704
-0.6157521601035995 6.65704
-0.6149667619402021 6.657039999999999
-0.6141813637768045 6.65704
-0.6133959656134071 6.65704
-0.6126105674500096 6.65704
-0.6118251692866122 6.65704
-0.6110397711232147 6.65704
-0.6102543729598173 6.657040000000001
-0.6094689747964199 6.65704
-0.6086835766330224 6.65704
-0.607898178469625 6.65704
-0.6071127803062275 6.657040000000001
-0.6063273821428301 6.65704
-0.6055419839794326 6.65704
-0.6047565858160352 6.65704
-0.6039711876526377 6.657040000000001
-0.6031857894892403 6.65704
-0.6024003913258429 6.65704
-0.6016149931624454 6.65704
-0.600829594999048 6.65704
-0.6000441968356505 6.65704
-0.5992587986722531 6.65704
-0.5984734005088556 6.65704
-0.5976880023454582 6.657040000000001
-0.5969026041820606 6.65704
-0.5961172060186632 6.65704
-0.5953318078552658 6.65704
-0.5945464096918683 6.65704
-0.5937610115284709 6.65704
-0.5929756133650734 6.65704
-0.592190215201676 6.657040000000001
-0.5914048170382785 6.65704
-0.5906194188748811 6.65704
-0.5898340207114836 6.65704
-0.5890486225480862 6.65704
-0.5882632243846888 6.65704
-0.5874778262212913 6.65704
-0.5866924280578939 6.65704
-0.5859070298944964 6.65704
-0.585121631731099 6.657040000000001
-0.5843362335677015 6.65704
-0.5835508354043041 6.657039999999999
-0.5827654372409066 6.657039999999999
-0.5819800390775092 6.65704
-0.5811946409141118 6.65704
-0.5804092427507143 6.657040000000001
-0.5796238445873169 6.65704
