# y+ ()             
# Time              	patch               	min                 	max                 	average             
6000                	bodyRef	2.501631683119e+00	2.529092454333e+01	1.487723697990e+01
6000                	body	2.328780241682e+00	2.689782375974e+01	1.454972106506e+01
